"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"EUR","Europe","FIN","Finland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",91.1,,
"ALL","All regions","FIN","Finland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","FIN","Finland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",91.1,,
"EUR","Europe","FRA","France","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","FRA","France","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.5,,
"ALL","All regions","FRA","France","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","FRA","France","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.5,,
"EUR","Europe","DEU","Germany","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","DEU","Germany","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",55.3,,
"ALL","All regions","DEU","Germany","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","DEU","Germany","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",55.3,,
"EUR","Europe","GRC","Greece","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","GRC","Greece","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",62.1,,
"ALL","All regions","GRC","Greece","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GRC","Greece","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",62.1,,
"EUR","Europe","HUN","Hungary","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","HUN","Hungary","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.2,,
"ALL","All regions","HUN","Hungary","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","HUN","Hungary","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.2,,
"EUR","Europe","ISL","Iceland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","ISL","Iceland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",85.8,,
"ALL","All regions","ISL","Iceland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ISL","Iceland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",85.8,,
"EUR","Europe","IRL","Ireland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","IRL","Ireland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.5,,
"ALL","All regions","IRL","Ireland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","IRL","Ireland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.5,,
"EUR","Europe","ITA","Italy","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","ITA","Italy","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",59.2,,
"ALL","All regions","ITA","Italy","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ITA","Italy","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",59.2,,
"ASI","Asia","JPN","Japan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","JPN","Japan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.1,,
"ALL","All regions","JPN","Japan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","JPN","Japan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.1,,
"ASI","Asia","KOR","Korea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","KOR","Korea","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",51.3,,
"ALL","All regions","KOR","Korea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","KOR","Korea","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",51.3,,
"EUR","Europe","LUX","Luxembourg","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","LUX","Luxembourg","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",56,,
"ALL","All regions","LUX","Luxembourg","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LUX","Luxembourg","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",56,,
"AME","Americas","MEX","Mexico","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","MEX","Mexico","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.7,,
"ALL","All regions","MEX","Mexico","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MEX","Mexico","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.7,,
"EUR","Europe","NLD","Netherlands","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","NLD","Netherlands","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",80.6,,
"ALL","All regions","NLD","Netherlands","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","NLD","Netherlands","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",80.6,,
"ASI","Asia","NZL","New Zealand","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","NZL","New Zealand","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",79.2,,
"ALL","All regions","NZL","New Zealand","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","NZL","New Zealand","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",79.2,,
"EUR","Europe","NOR","Norway","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","NOR","Norway","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",81.6,,
"ALL","All regions","NOR","Norway","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","NOR","Norway","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",81.6,,
"EUR","Europe","POL","Poland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","POL","Poland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.2,,
"ALL","All regions","POL","Poland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","POL","Poland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.2,,
"EUR","Europe","PRT","Portugal","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","PRT","Portugal","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",73.8,,
"ALL","All regions","PRT","Portugal","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","PRT","Portugal","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",73.8,,
"EUR","Europe","SVK","Slovak Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","SVK","Slovak Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.3,,
"ALL","All regions","SVK","Slovak Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","SVK","Slovak Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.3,,
"EUR","Europe","ESP","Spain","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","ESP","Spain","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.4,,
"ALL","All regions","ESP","Spain","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ESP","Spain","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.4,,
"EUR","Europe","SWE","Sweden","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","SWE","Sweden","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",74.3,,
"ALL","All regions","SWE","Sweden","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","SWE","Sweden","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",74.3,,
"EUR","Europe","CHE","Switzerland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","CHE","Switzerland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",55.6,,
"ALL","All regions","CHE","Switzerland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CHE","Switzerland","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",55.6,,
"ASI","Asia","TUR","Turkey","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","TUR","Turkey","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",54.6,,
"ALL","All regions","TUR","Turkey","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","TUR","Turkey","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",54.6,,
"EUR","Europe","GBR","United Kingdom","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","GBR","United Kingdom","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",55.8,,
"ALL","All regions","GBR","United Kingdom","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GBR","United Kingdom","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",55.8,,
"AME","Americas","USA","United States","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","USA","United States","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",72.4,,
"ALL","All regions","USA","United States","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","USA","United States","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",72.4,,
"ASI","Asia","AFG","Afghanistan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","AFG","Afghanistan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",62,,
"ALL","All regions","AFG","Afghanistan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","AFG","Afghanistan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",62,,
"EUR","Europe","ALB","Albania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","ALB","Albania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.2,,
"ALL","All regions","ALB","Albania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ALB","Albania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.2,,
"AFR","Africa","DZA","Algeria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","DZA","Algeria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.6,,
"ALL","All regions","DZA","Algeria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","DZA","Algeria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.6,,
"AFR","Africa","AGO","Angola","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","AGO","Angola","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","ATG","Antigua and Barbuda","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ATG","Antigua and Barbuda","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","ARG","Argentina","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","ARG","Argentina","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.3,,
"ALL","All regions","ARG","Argentina","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ARG","Argentina","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.3,,
"ASI","Asia","ARM","Armenia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","ARM","Armenia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.9,,
"ALL","All regions","ARM","Armenia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ARM","Armenia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.9,,
"ASI","Asia","AZE","Azerbaijan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","AZE","Azerbaijan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.7,,
"ALL","All regions","AZE","Azerbaijan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","AZE","Azerbaijan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.7,,
"AME","Americas","BHS","Bahamas","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BHS","Bahamas","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","BHR","Bahrain","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BHR","Bahrain","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","BGD","Bangladesh","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","BGD","Bangladesh","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.9,,
"ALL","All regions","BGD","Bangladesh","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BGD","Bangladesh","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.9,,
"AME","Americas","BRB","Barbados","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BRB","Barbados","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"EUR","Europe","BLR","Belarus","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","BLR","Belarus","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.9,,
"ALL","All regions","BLR","Belarus","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BLR","Belarus","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.9,,
"AME","Americas","BLZ","Belize","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BLZ","Belize","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","BEN","Benin","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","BEN","Benin","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.9,,
"ALL","All regions","BEN","Benin","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BEN","Benin","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.9,,
"ASI","Asia","BTN","Bhutan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BTN","Bhutan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","BOL","Bolivia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","BOL","Bolivia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",63.9,,
"ALL","All regions","BOL","Bolivia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BOL","Bolivia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",63.9,,
"EUR","Europe","BIH","Bosnia and Herzegovina","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","BIH","Bosnia and Herzegovina","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",56.7,,
"ALL","All regions","BIH","Bosnia and Herzegovina","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BIH","Bosnia and Herzegovina","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",56.7,,
"AFR","Africa","BWA","Botswana","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","BWA","Botswana","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.1,,
"ALL","All regions","BWA","Botswana","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BWA","Botswana","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.1,,
"AME","Americas","BRA","Brazil","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","BRA","Brazil","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.9,,
"ALL","All regions","BRA","Brazil","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BRA","Brazil","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.9,,
"ASI","Asia","BRN","Brunei Darussalam","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BRN","Brunei Darussalam","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"EUR","Europe","BGR","Bulgaria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","BGR","Bulgaria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.2,,
"ALL","All regions","BGR","Bulgaria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BGR","Bulgaria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.2,,
"AFR","Africa","BFA","Burkina Faso","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","BFA","Burkina Faso","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",38.2,,
"ALL","All regions","BFA","Burkina Faso","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BFA","Burkina Faso","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",38.2,,
"AFR","Africa","BDI","Burundi","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BDI","Burundi","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","KHM","Cambodia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"ASI","Asia","KHM","Cambodia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.1,,
"ALL","All regions","KHM","Cambodia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"ALL","All regions","KHM","Cambodia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.1,,
"AFR","Africa","CMR","Cameroon","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","CMR","Cameroon","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",57.2,,
"ALL","All regions","CMR","Cameroon","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CMR","Cameroon","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",57.2,,
"AFR","Africa","CPV","Cabo Verde","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CPV","Cabo Verde","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","CAF","Central African Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","CAF","Central African Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",54.9,,
"ALL","All regions","CAF","Central African Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CAF","Central African Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",54.9,,
"AFR","Africa","TCD","Chad","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","TCD","Chad","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",36,,
"ALL","All regions","TCD","Chad","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","TCD","Chad","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",36,,
"AME","Americas","CHL","Chile","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","CHL","Chile","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.5,,
"ALL","All regions","CHL","Chile","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CHL","Chile","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.5,,
"ASI","Asia","CHN","China (People's Republic of)","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","CHN","China (People's Republic of)","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.1,,
"ALL","All regions","CHN","China (People's Republic of)","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CHN","China (People's Republic of)","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.1,,
"AME","Americas","COL","Colombia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","COL","Colombia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.7,,
"ALL","All regions","COL","Colombia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","COL","Colombia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.7,,
"AFR","Africa","COM","Comoros","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","COM","Comoros","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","COG","Congo","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","COG","Congo","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",51.4,,
"ALL","All regions","COG","Congo","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","COG","Congo","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",51.4,,
"AME","Americas","CRI","Costa Rica","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","CRI","Costa Rica","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.7,,
"ALL","All regions","CRI","Costa Rica","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CRI","Costa Rica","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.7,,
"AFR","Africa","CIV","Côte d'Ivoire","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","CIV","Côte d'Ivoire","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",32.1,,
"ALL","All regions","CIV","Côte d'Ivoire","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CIV","Côte d'Ivoire","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",32.1,,
"EUR","Europe","HRV","Croatia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","HRV","Croatia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",63.3,,
"ALL","All regions","HRV","Croatia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","HRV","Croatia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",63.3,,
"AME","Americas","CUB","Cuba","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CUB","Cuba","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","CYP","Cyprus","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","CYP","Cyprus","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",80.7,,
"ALL","All regions","CYP","Cyprus","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CYP","Cyprus","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",80.7,,
"AFR","Africa","COD","Democratic Republic of the Congo","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","COD","Democratic Republic of the Congo","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",44.1,,
"ALL","All regions","COD","Democratic Republic of the Congo","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","COD","Democratic Republic of the Congo","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",44.1,,
"AFR","Africa","DJI","Djibouti","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","DJI","Djibouti","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","DMA","Dominica","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
